"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS NOVA ANDRADINA","13447","NOVA ANDRADINA","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS PONTA PORÃ","13894","PONTA PORÃ","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS TRÊS LAGOAS","13891","TRÊS LAGOAS","MS"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA ABRE CAMPO","42302","ABRE CAMPO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE ÁGUA BOA","42263","ÁGUA BOA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA ALFENAS","42870","ALFENAS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS ALMENARA","14170","ALMENARA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA ALTEROSA","42872","ALTEROSA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE ALVINÓPOLIS","42250","ALVINÓPOLIS","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA ANDRADAS","42863","ANDRADAS","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA ANDRELÂNDIA","42856","ANDRELÂNDIA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE ANTÔNIO PRADO DE MINAS","42277","ANTÔNIO PRADO DE MINAS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS ARAÇUAÍ","13649","ARAÇUAÍ","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED ARAXÁ","3043","ARAXÁ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO ARCOS","44473","ARCOS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS ARINOS","13209","ARINOS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS BAMBUÍ","2996","BAMBUÍ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE BARÃO DE COCAIS","42251","BARÃO DE COCAIS","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS BARBACENA","2957","BARBACENA","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNIDADE BELO HORIZONTE","3036","BELO HORIZONTE","MG"
"UFMG","TEATRO UNIVERSITÁRIO","44742","BELO HORIZONTE","MG"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS","COLEGIO TÉCNICO DA UFMG","12977","BELO HORIZONTE","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE BELO VALE","42243","BELO VALE","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS BETIM","20439","BETIM","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA BOA ESPERANÇA","42871","BOA ESPERANÇA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE BOM DESPACHO","42261","BOM DESPACHO","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS AVANÇADO BOM SUCESSO","32142","BOM SUCESSO","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA BOTELHOS","42867","BOTELHOS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE BRÁS PIRES","42252","BRÁS PIRES","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE CAETÉ","42290","CAETÉ","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CAMBUÍ","42865","CAMBUÍ","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CAMBUQUIRA","42854","CAMBUQUIRA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CAMPESTRE","42868","CAMPESTRE","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS AVANÇADO CAMPINA VERDE","32004","CAMPINA VERDE","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE CANDEIAS","42280","CANDEIAS","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CAPETINGA","42873","CAPETINGA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CARANAÍBA","42303","CARANAÍBA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CARANDAÍ","42304","CARANDAÍ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CARANGOLA","42298","CARANGOLA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE CARMÉSIA","42264","CARMÉSIA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS AVANÇADO CARMO DE MINAS","32022","CARMO DE MINAS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE CARMÓPOLIS DE MINAS","42233","CARMÓPOLIS DE MINAS","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CENTRO DE REFERÊNCIA CATAGUASES","42205","CATAGUASES","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE CATAS ALTAS","42253","CATAS ALTAS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CATAS ALTAS DA NORUEGA","43160","CATAS ALTAS DA NORUEGA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE CONCEIÇÃO DO MATO DENTRO","42265","CONCEIÇÃO DO MATO DENTRO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS CONGONHAS","2994","CONGONHAS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO CONSELHEIRO LAFAIETE","42278","CONSELHEIRO LAFAIETE","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED CONTAGEM","21662","CONTAGEM","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE CORDISBURGO","42292","CORDISBURGO","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CENTRO DE REFERÊNCIA CORINTO","42742","CORINTO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE COROACI","42267","COROACI","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO CORONEL FABRICIANO","42116","CORONEL FABRICIANO","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA CRUZÍLIA","42857","CRUZÍLIA","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED CURVELO","13561","CURVELO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE DESTERRO DE ENTRE RIOS","42245","DESTERRO DE ENTRE RIOS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS DIAMANTINA","42124","DIAMANTINA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE DIVINO","42254","DIVINO","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED DIVINÓPOLIS","3042","DIVINÓPOLIS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE DORES DE INDAIÁ","42294","DORES DO INDAIÁ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE ENTRE RIOS DE MINAS","42246","ENTRE RIOS DE MINAS","MG"
"UNIVERSIDADE FEDERAL DE VIÇOSA","CENTRO DE ENSINO E DESENVOLVIMENTO AGRÁRIO DA UFV","12566","FLORESTAL","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS FORMIGA","3228","FORMIGA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE GOUVEIA","42268","GOUVEIA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS GOVERNADOR VALADARES","13192","GOVERNADOR VALADARES","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE GUAPÉ","42281","GUAPÉ","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA GUARANÉSIA","42874","GUARANÉSIA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS IBIRITÉ","45961","IBIRITÉ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE IGUATAMA","42286","IGUATAMA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS INCONFIDENTES","2997","INCONFIDENTES","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO IPATINGA","42109","IPATINGA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO ITABIRITO","43071","ITABIRITO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE ITAGUARA","42235","ITAGUARA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA ITANHANDU","42855","ITANHANDU","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE ITATIAIUÇU","42236","ITATIAIUÇU","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS ITUIUTABA","3367","ITUIUTABA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE JABOTICATUBAS","42288","JABOTICATUBAS","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA JACUTINGA","42866","JACUTINGA","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS AVANÇADO JANAÚBA","42148","JANAÚBA","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS JANUÁRIA","2912","JANUÁRIA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE JECEABA","42247","JECEABA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE JEQUERI","42255","JEQUERI","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS JUIZ DE FORA","2958","JUIZ DE FORA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE LAGOA DA PRATA","42283","LAGOA DA PRATA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE LAGOA SANTA","42293","LAGOA SANTA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA LAMBARI","42860","LAMBARI","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED LEOPOLDINA","3063","LEOPOLDINA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS MACHADO","2998","MACHADO","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS MANHUAÇU","42051","MANHUAÇU","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE MARAVILHAS","42242","MARAVILHAS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE MARILÉIA","42256","MARLIÉRIA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE MATIPÓ","42258","MATIPÓ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE MOEDA","42248","MOEDA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA MONTE SANTO DE MINAS","42876","MONTE SANTO DE MINAS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS MONTES CLAROS","14171","MONTES CLAROS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CENTRO DE REFERÊNCIA EM EDUCAÇÃO A DISTÂNCIA","42743","MONTES CLAROS","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS MURIAÉ","13462","MURIAÉ","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS MUZAMBINHO","3000","MUZAMBINHO","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED NEPOMUCENO","3046","NEPOMUCENO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA NEPOMUCENO","42297","NEPOMUCENO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA NOVA ERA","42305","NOVA ERA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE NOVA SERRANA","42231","NOVA SERRANA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE OLIVEIRA","42287","OLIVEIRA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS OURO BRANCO","20432","OURO BRANCO","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA OURO FINO","42864","OURO FINO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS OURO PRETO","2993","OURO PRETO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE PAINS","42282","PAINS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE PAGAGAIOS","42237","PAPAGAIOS","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS PARACATU","3366","PARACATU","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE PASSA TEMPO","42238","PASSA TEMPO","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS PASSOS","14022","PASSOS","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS PATOS DE MINAS","30702","PATOS DE MINAS","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS PATROCÍNIO","13904","PATROCÍNIO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE PEÇANHA","42269","PEÇANHA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA PEDRA BONITA","42306","PEDRA BONITA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE PERDÕES","42284","PERDÕES","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE PIRACEMA","42239","PIRACEMA","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS PIRAPORA","14172","PIRAPORA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO PITANGUI","42122","PITANGUI","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO PIUMHI","42112","PIUMHI","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS POÇOS DE CALDAS","14020","POÇOS DE CALDAS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO PONTE NOVA","42123","PONTE NOVA","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS AVANÇADO PORTEIRINHA","42217","PORTEIRINHA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS POUSO ALEGRE","14021","POUSO ALEGRE","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE RAPOSOS","42279","RAPOSOS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA RAUL SOARES","42307","RAUL SOARES","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS RIBEIRÃO DAS NEVES","20431","RIBEIRÃO DAS NEVES","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA RIO ESPERA","43159","RIO ESPERA","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS RIO POMBA","2991","RIO POMBA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE RIO VERMELHO","42270","RIO VERMELHO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS SABARÁ","23460","SABARÁ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SABINÓPOLIS","42272","SABINÓPOLIS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS SALINAS","2913","SALINAS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SANTA BÁRBARA","42259","SANTA BÁRBARA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS SANTA LUZIA","42125","SANTA LUZIA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SANTA MARIA DO SUAÇUÍ","42273","SANTA MARIA DO SUAÇUÍ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SANTO ANTÔNIO DO AMPARO","42285","SANTO ANTÔNIO DO AMPARO","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS SANTOS DUMONT","20415","SANTOS DUMONT","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SÃO BRÁS DO SUAÇUÍ","42249","SÃO BRÁS DO SUAÇUÍ","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA SÃO DOMINGOS DO PRATA","42309","SÃO DOMINGOS DO PRATA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SÃO GONÇALO DO RIO PRETO","42274","SÃO GONÇALO DO RIO PRETO","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS SÃO JOÃO DEL REI","13463","SÃO JOÃO DEL REI","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS SÃO JOÃO EVANGELISTA","2995","SÃO JOÃO EVANGELISTA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA SÃO PEDRO DOS FERROS","42310","SÃO PEDRO DOS FERROS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SÃO PEDRO DO SUAÇUÍ","42275","SÃO PEDRO DO SUAÇUÍ","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA SÃO SEBASTIÃO DO PARAÍSO","42862","SÃO SEBASTIÃO DO PARAÍSO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE SERRO","42276","SERRO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CAMPUS AVANÇADO SETE LAGOAS","42120","SETE LAGOAS","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE TAQUARAÇU DE MINAS","42289","TAQUARAÇU DE MINAS","MG"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS","CAMPUS TEÓFILO OTONI","42071","TEÓFILO OTONI","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED TIMÓTEO","3045","TIMÓTEO","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CAMPUS AVANÇADO TRÊS CORAÇÕES","32023","TRÊS CORAÇÕES","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA TRÊS PONTAS","42875","TRÊS PONTAS","MG"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS","CAMPUS AVANÇADO UBÁ","42206","UBÁ","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS AVANÇADO UBERABA PARQUE TECNOLÓGICO","42736","UBERABA","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS UBERABA","2960","UBERABA","MG"
"UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO","CENTRO DE FORMAÇÃO ESPECIAL EM SAÚDE DA UFTM","12877","UBERABA","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS UBERLÂNDIA","2963","UBERLÂNDIA","MG"
"INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO","CAMPUS UBERLÂNDIA CENTRO","13903","UBERLÂNDIA","MG"
"UNIVERSIDADE FEDERAL DE UBERLÂNDIA","ESCOLA TÉCNICA DE SAÚDE DA UFU","12975","UBERLÂNDIA","MG"
"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS","UNED VARGINHA","3044","VARGINHA","MG"
"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","CENTRO DE REFERÊNCIA VARGINHA","42869","VARGINHA","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE VESPASIANO","42291","VESPASIANO","MG"
"INSTITUTO FEDERAL DE MINAS GERAIS","CENTRO DE REFERÊNCIA DE VISCONDE DE RIO BRANCO","42260","VISCONDE DO RIO BRANCO","MG"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS ABAETETUBA","3524","ABAETETUBA","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS ALTAMIRA","2916","ALTAMIRA","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS ANANINDEUA","32043","ANANINDEUA","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS BELÉM","2914","BELÉM","PA"
"UNIVERSIDADE FEDERAL DO PARÁ","ESCOLA DE MÚSICA DA UFPA","12978","BELÉM","PA"
"UNIVERSIDADE FEDERAL DO PARÁ","ESCOLA DE TEATRO E DANÇA DA UFPA","12979","BELÉM","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS BRAGANÇA","3526","BRAGANÇA","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS BREVES","13863","BREVES","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS CAMETÁ","32358","CAMETÁ","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS CASTANHAL","2915","CASTANHAL","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS CONCEIÇÃO DO ARAGUAIA","3522","CONCEIÇÃO DO ARAGUAIA","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS ITAITUBA","13396","ITAITUBA","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS MARABÁ INDUSTRIAL","2919","MARABÁ","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS MARABÁ RURAL","2917","MARABÁ","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS ÓBIDOS","32074","ÓBIDOS","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS PARAGOMINAS","32357","PARAGOMINAS","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS PARAUAPEBAS","32045","PARAUAPEBAS","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS SANTARÉM","13395","SANTARÉM","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS TUCURUÍ","2918","TUCURUÍ","PA"
"INSTITUTO FEDERAL DO PARÁ","CAMPUS AVANÇADO VIGIA","32049","VIGIA","PA"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS AVANÇADO AREIA","32034","AREIA","PB"
"UNIVERSIDADE FEDERAL DA PARAÍBA","COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB","3565","BANANEIRAS","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS AVANÇADO CABEDELO CENTRO","32310","CABEDELO","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS CABEDELO","3562","CABEDELO","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS CAJAZEIRAS","2808","CAJAZEIRAS","PB"
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE","ESCOLA TÉCNICA DE SAÚDE DE CAJAZEIRAS DA UFCG","534","CAJAZEIRAS","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS CAMPINA GRANDE","2813","CAMPINA GRANDE","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS CATOLÉ DO ROCHA","32027","CATOLÉ DO ROCHA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS ESPERANÇA","32029","ESPERANÇA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS GUARABIRA","20808","GUARABIRA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS ITABAIANA","32030","ITABAIANA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS ITAPORANGA","42528","ITAPORANGA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS AVANÇADO JOÃO PESSOA MANGABEIRA","32038","JOÃO PESSOA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS JOÃO PESSOA","2809","JOÃO PESSOA","PB"
"UNIVERSIDADE FEDERAL DA PARAÍBA","ESCOLA TÉCNICA DE SAÚDE DA UFPB","354","JOÃO PESSOA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS MONTEIRO","3585","MONTEIRO","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS PATOS","3584","PATOS","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS AVANÇADO PEDRAS DE FOGO","32039","PEDRAS DE FOGO","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS PICUÍ","3567","PICUÍ","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS PRINCESA ISABEL","3566","PRINCESA ISABEL","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS SANTA LUZIA","42313","SANTA LUZIA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS SANTA RITA","42347","SANTA RITA","PB"
"INSTITUTO FEDERAL DA PARAÍBA","CAMPUS AVANÇADO SOLEDADE","42331","SOLEDADE","PB"
