"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS FEIRA DE SANTANA","20103","FEIRA DE SANTANA","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS GOVERNADOR MANGABEIRA","23625","GOVERNADOR MANGABEIRA","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS GUANAMBI","2945","GUANAMBI","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS ILHÉUS","20100","ILHÉUS","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS IRECÊ","20098","IRECÊ","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS ITABERABA","44280","ITABERABA","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS ITAPETINGA","2948","ITAPETINGA","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS JACOBINA","20101","JACOBINA","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS JEQUIÉ","20097","JEQUIÉ","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS JUAZEIRO","32036","JUAZEIRO","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS LAURO DE FREITAS","32037","LAURO DE FREITAS","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS PAULO AFONSO","20099","PAULO AFONSO","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS PORTO SEGURO","2880","PORTO SEGURO","BA"
"INSTITUTO FEDERAL BAIANO","CENTRO DE REFERÊNCIA DOIS DE JULHO","44846","SALVADOR","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS SALVADOR","2859","SALVADOR","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS SANTA INÊS","2947","SANTA INÊS","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS SANTO AMARO","2866","SANTO AMARO","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS SANTO ANTÔNIO DE JESUS","32040","SANTO ANTÔNIO DE JESUS","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS SEABRA","20102","SEABRA","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS SENHOR DO BONFIM","2949","SENHOR DO BONFIM","BA"
"INSTITUTO FEDERAL BAIANO –","CAMPUS SERRINHA","44046","SERRINHA","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS SIMÕES FILHO","2863","SIMÕES FILHO","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS TEIXEIRA DE FREITAS","2950","TEIXEIRA DE FREITAS","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS AVANÇADO UBAITABA","42669","UBAITABA","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS URUÇUCA","2951","URUÇUCA","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS VALENÇA","2952","VALENÇA","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS VALENÇA TENTO","2871","VALENÇA","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS VITÓRIA DA CONQUISTA","2876","VITÓRIA DA CONQUISTA","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS XIQUE-XIQUE","44279","XIQUE-XIQUE","BA"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS ACARAÚ","14223","ACARAÚ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS ACOPIARA","31985","ACOPIARA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS ARACATI","20412","ARACATI","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS BATURITÉ","14190","BATURITÉ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS BOA VIAGEM","31986","BOA VIAGEM","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS CAMOCIM","20434","CAMOCIM","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS CANINDÉ","13842","CANINDÉ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS AVANÇADO PECÉM","44156","CAUCAIA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS CAUCAIA","20435","CAUCAIA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS CEDRO","2985","CEDRO","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS CRATEÚS","14225","CRATEÚS","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS CRATO","2989","CRATO","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS FORTALEZA","2984","FORTALEZA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS AVANÇADO GUARAMIRANGA","42049","GUARAMIRANGA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS HORIZONTE","31987","HORIZONTE","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS AVANÇADO ICAPUÍ","42127","ICAPUÍ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS IGUATU","2990","IGUATU","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS ITAPIPOCA","31995","ITAPIPOCA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS JAGUARIBE","20084","JAGUARIBE","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS AVANÇADO JAGUARUANA","42044","JAGUARUANA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS JUAZEIRO DO NORTE","2986","JUAZEIRO DO NORTE","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS LIMOEIRO DO NORTE","3575","LIMOEIRO DO NORTE","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS MARACANAÚ","2988","MARACANAÚ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS MARANGUAPE","31996","MARANGUAPE","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS MORADA NOVA","20436","MORADA NOVA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS PARACURU","31997","PARACURU","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS QUIXADÁ","3007","QUIXADÁ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CENTRO DE REFERÊNCIA QUIXERAMOBIM","42230","QUIXERAMOBIM","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS AVANÇADO SANTA QUITÉRIA","42045","SANTA QUITÉRIA","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS SOBRAL","3571","SOBRAL","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS TABULEIRO DO NORTE","20437","TABULEIRO DO NORTE","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS TAUÁ","14194","TAUÁ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS TIANGUÁ","14191","TIANGUÁ","CE"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS UBAJARA","20438","UBAJARA","CE"
