"INICIO","CICLO","CURSO_SISTEC","CURSO_QACADEMICO","CAMPUS"
"2019.2",2670376,"AGENTE DE INFORMAÇÕES TURÍSTICAS","QUALIFICAÇÃO PROFISSIONAL EM AGENTE DE INFORMAÇÕES TURÍSTICAS","CABO DE SANTO AGOSTINHO"
"2019.2",2635296,"CUIDADOR DE IDOSO","QUALIFICAÇÃO PROFISSIONAL EM CUIDADOR DE IDOSO - PROEJA","ABREU E LIMA"
"2019.2",2647377,"QUALIFICAÇÃO PROFISSIONAL EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","QUALIFICAÇÃO PROFISSIONAL EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SEE  VT","VITÓRIA DE SANTO ANTÃO"
"2019.1",2608765,"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO","REFRIGERAÇÃO E CLIMATIZAÇÃO - SUB","RECIFE"
"2019.2",2640318,"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO","REFRIGERAÇÃO E CLIMATIZAÇÃO - SUB","RECIFE"
"2019.1",2585563,"ENGENHARIA ELÉTRICA","SUPERIOR BACHARELADO EM ENGENHARIA ELÉTRICA","GARANHUNS"
"2020.1",2675764,"ENGENHARIA ELÉTRICA","SUPERIOR BACHARELADO EM ENGENHARIA ELÉTRICA","GARANHUNS"
"2019.1",2582943,"AGRONOMIA","SUPERIOR DE BACHARELADO EM AGRONOMIA","VITÓRIA DE SANTO ANTÃO"
"2019.2",2628213,"MATEMÁTICA","SUPERIOR DE LICENCIATURA EM MATEMÁTICA - EAD","EAD"
"2019.1",2592986,"AGROECOLOGIA","SUPERIOR DE TECNOLOGIA EM AGROECOLOGIA","BARREIROS"
"2020.1",2682779,"AGROECOLOGIA","SUPERIOR DE TECNOLOGIA EM AGROECOLOGIA","BARREIROS"
"2019.1",2580867,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","RECIFE"
"2019.2",2649707,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","RECIFE"
"2019.2",2638178,"DESIGN GRÁFICO","SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO","RECIFE"
"2019.1",2592416,"GESTÃO AMBIENTAL","SUPERIOR DE TECNOLOGIA EM GESTÃO AMBIENTAL","RECIFE"
"2019.2",2638114,"GESTÃO AMBIENTAL","SUPERIOR DE TECNOLOGIA EM GESTÃO AMBIENTAL","RECIFE"
"2019.1",2575384,"GESTÃO DE TURISMO","SUPERIOR DE TECNOLOGIA EM GESTÃO DE TURISMO","RECIFE"
"2019.2",2636508,"GESTÃO DE TURISMO","SUPERIOR DE TECNOLOGIA EM GESTÃO DE TURISMO","RECIFE"
"2019.2",2638172,"RADIOLOGIA","SUPERIOR DE TECNOLOGIA EM RADIOLOGIA","RECIFE"
"2019.2",2675431,"TÉCNICA VOCAL E CANTO E CORAL","TÉCNICA VOCAL E CANTO CORAL","PESQUEIRA"
"2019.1",2600143,"TÉCNICA VOCAL, CANTO CORAL E EXPRESSÃO VOCAL_CORPORAL","TÉCNICA VOCAL PARA CANTO INDIVIDUAL,CANTO CORAL E DE PRÁTICA EM CONJUNTO - PS","PESQUEIRA"
"2019.1",2571185,"TÉCNICO EM AGROINDÚSTRIA","TÉCNICO EM AGROINDÚSTRIA SUB AF 2012","AFOGADOS DA INGAZEIRA"
"2019.2",2631577,"TÉCNICO EM AGROINDÚSTRIA","TÉCNICO EM AGROINDÚSTRIA SUB AF 2012","AFOGADOS DA INGAZEIRA"
"2020.1",2679886,"TÉCNICO EM AGROINDÚSTRIA","TÉCNICO EM AGROINDÚSTRIA SUB AF 2012","AFOGADOS DA INGAZEIRA"
"2019.1",2590905,"TÉCNICO EM ALIMENTOS","TÉCNICO EM ALIMENTOS - INTEGRADO","BARREIROS"
"2020.1",2682362,"TÉCNICO EM ALIMENTOS","TÉCNICO EM ALIMENTOS - INTEGRADO","BARREIROS"
"2019.1",2591809,"TÉCNICO EM AUTOMAÇÃO INDUSTRIAL","TÉCNICO EM AUTOMAÇÃO INDUSTRIAL - SUB","IPOJUCA"
"2019.2",2660878,"TÉCNICO EM AUTOMAÇÃO INDUSTRIAL","TÉCNICO EM AUTOMAÇÃO INDUSTRIAL - SUB","IPOJUCA"
"2019.1",2596195,"TÉCNICO EM COZINHA","TÉCNICO EM COZINHA","CABO DE SANTO AGOSTINHO"
"2019.2",2649906,"TÉCNICO EM COZINHA","TÉCNICO EM COZINHA","CABO DE SANTO AGOSTINHO"
"2019.2",2641957,"TÉCNICO EM EDIFICAÇÕES","TECNICO EM EDIFICAÇÕES - SUB","CARUARU"
"2019.1",2578399,"TÉCNICO EM EDIFICAÇÕES","TÉCNICO EM EDIFICAÇÕES INTEG_ REG - RC 2014_1","RECIFE"
"2019.1",2578406,"TÉCNICO EM EDIFICAÇÕES","TÉCNICO EM EDIFICAÇÕES SUB RC 2014_1","RECIFE"
"2019.2",2671138,"TÉCNICO EM EDIFICAÇÕES","TÉCNICO EM EDIFICAÇÕES SUB RC 2014_1","RECIFE"
"2019.1",2571187,"TÉCNICO EM ELETROELETRÔNICA","TÉCNICO EM ELETROELETRÔNICA 2013  SUB","AFOGADOS DA INGAZEIRA"
"2019.2",2631578,"TÉCNICO EM ELETROELETRÔNICA","TÉCNICO EM ELETROELETRÔNICA 2013  SUB","AFOGADOS DA INGAZEIRA"
"2020.1",2679888,"TÉCNICO EM ELETROELETRÔNICA","TÉCNICO EM ELETROELETRÔNICA 2013  SUB","AFOGADOS DA INGAZEIRA"
"2019.1",2580840,"TÉCNICO EM ELETRÔNICA","TÉCNICO EM ELETRÔNICA SUB  RECIFE","RECIFE"
"2019.2",2649723,"TÉCNICO EM ELETRÔNICA","TÉCNICO EM ELETRÔNICA SUB  RECIFE","RECIFE"
"2019.1",2580854,"TÉCNICO EM ELETROTÉCNICA","TÉCNICO EM ELETROTÉCNICA INTEG 2014_1","RECIFE"
"2019.2",2649726,"TÉCNICO EM ELETROTÉCNICA","TÉCNICO EM ELETROTÉCNICA INTEG 2014_1","RECIFE"
"2019.1",2580857,"TÉCNICO EM ELETROTÉCNICA","TÉCNICO EM ELETROTÉCNICA SUB 2014_1","RECIFE"
"2019.2",2649729,"TÉCNICO EM ELETROTÉCNICA","TÉCNICO EM ELETROTÉCNICA SUB 2014_1","RECIFE"
"2019.1",2577474,"TÉCNICO EM ENFERMAGEM","TÉCNICO EM ENFERMAGEM - SUB 2010_2","BELO JARDIM"
"2019.2",2628198,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - EAD 2014_1","EAD"
"2019.1",2608764,"TÉCNICO EM MECÂNICA","TÉCNICO EM MECÂNICA - SUB 2014_1","RECIFE"
"2019.2",2640315,"TÉCNICO EM MECÂNICA","TÉCNICO EM MECÂNICA - SUB 2014_1","RECIFE"
"2019.1",2591807,"TÉCNICO EM QUÍMICA","TÉCNICO EM QUÍMICA - SUB_","IPOJUCA"
"2019.2",2661257,"TÉCNICO EM QUÍMICA","TÉCNICO EM QUÍMICA - SUB_","IPOJUCA"
"2019.1",2608759,"TÉCNICO EM QUÍMICA","TÉCNICO EM QUÍMICA SUB - RC","RECIFE"
"2019.2",2640319,"TÉCNICO EM QUÍMICA","TÉCNICO EM QUÍMICA SUB - RC","RECIFE"
"2019.1",2574192,"TÉCNICO EM REDES DE COMPUTADORES","TÉCNICO EM REDES DE COMPUTADORES","PALMARES"
"2019.2",2629462,"TÉCNICO EM REDES DE COMPUTADORES","TÉCNICO EM REDES DE COMPUTADORES","PALMARES"
"2020.1",2677476,"TÉCNICO EM REDES DE COMPUTADORES","TÉCNICO EM REDES DE COMPUTADORES","PALMARES"
"2019.1",2571186,"TÉCNICO EM SANEAMENTO","TÉCNICO EM SANEAMENTO SUB 2012 1","AFOGADOS DA INGAZEIRA"
"2019.2",2631579,"TÉCNICO EM SANEAMENTO","TÉCNICO EM SANEAMENTO SUB 2012 1","AFOGADOS DA INGAZEIRA"
"2020.1",2679893,"TÉCNICO EM SANEAMENTO","TÉCNICO EM SANEAMENTO SUB 2012 1","AFOGADOS DA INGAZEIRA"
"2019.1",2580603,"TÉCNICO EM SEGURANÇA DO TRABALHO","TÉCNICO EM SEGURANÇA DO TRABALHO","ABREU E LIMA"
"2019.2",2635303,"TÉCNICO EM SEGURANÇA DO TRABALHO","TÉCNICO EM SEGURANÇA DO TRABALHO","ABREU E LIMA"
"2020.1",2682708,"TÉCNICO EM SEGURANÇA DO TRABALHO","TÉCNICO EM SEGURANÇA DO TRABALHO","ABREU E LIMA"
"2019.1",2591806,"TÉCNICO EM SEGURANÇA DO TRABALHO","TÉCNICO EM SEGURANÇA DO TRABALHO - SUB","IPOJUCA"
"2019.2",2660889,"TÉCNICO EM SEGURANÇA DO TRABALHO","TÉCNICO EM SEGURANÇA DO TRABALHO - SUB","IPOJUCA"
"2019.1",2592254,"TÉCNICO EM SEGURANÇA DO TRABALHO","TÉCNICO EM SEGURANÇA DO TRABALHO CR - SUB","CARUARU"
"2019.2",2642005,"TÉCNICO EM SEGURANÇA DO TRABALHO","TÉCNICO EM SEGURANÇA DO TRABALHO CR - SUB","CARUARU"
"2019.2",2630974,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","TECNOLOGIA EM ANÁLISE E DESENVIMENTO DE SISTEMAS - GR","GARANHUNS"
"2020.1",2675761,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","TECNOLOGIA EM ANÁLISE E DESENVIMENTO DE SISTEMAS - GR","GARANHUNS"
"2019.2",2635826,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMA - PL","PAULISTA"
"2019.1",2596199,"HOTELARIA","TECNOLOGIA EM HOTELARIA - CB","CABO DE SANTO AGOSTINHO"
"2019.1",2599381,"PROCESSOS GERENCIAIS","TECNOLOGIA EM PROCESSOS GERENCIAIS - PL","PAULISTA"
"2020.1",2682345,"SISTEMAS PARA INTERNET","TECNOLOGIA EM SISTEMAS PARA INTERNET","IGARASSU"
